,football.co.uk,id,odds
54,Nantes,nantes,nantes
57,Lille,lille,lille
60,Reims,reims,reims
62,Bastia,bastia,bastia
64,Evian Thonon Gaillard,evian_thonon_gaillard,evian_thonon_gaillard
65,Guingamp,guingamp,guingamp
66,Lyon,lyon,lyon
67,Montpellier,montpellier,montpellier
68,Nice,nice,nice
69,St Etienne,st_etienne,st_etienne
71,Lorient,lorient,lorient
72,Metz,metz,metz
73,Monaco,monaco,monaco
75,Toulouse,toulouse,toulouse
76,Bordeaux,bordeaux,bordeaux
77,Lens,lens,lens
78,Marseille,marseille,marseille
82,Caen,caen,caen
85,Rennes,rennes,rennes
88,Paris SG,paris_sg,paris_sg
386,Troyes,troyes,troyes
391,Angers,angers,angers
401,Ajaccio GFCO,ajaccio_gfco,ajaccio_gfco
765,Dijon,dijon,dijon
769,Nancy,nancy,nancy
1153,Amiens,amiens,amiens
1160,Strasbourg,strasbourg,strasbourg
1538,Nimes,nimes,nimes
1904,Brest,brest,brest
2188,Valenciennes,valenciennes,valenciennes
2192,Auxerre,auxerre,auxerre
2195,Creteil,creteil,creteil
2196,Laval,laval,laval
2197,Niort,niort,niort
2198,Sochaux,sochaux,sochaux
2200,Le Havre,le_havre,le_havre
2202,Ajaccio,ajaccio,ajaccio
2204,Arles,arles,arles
2208,Orleans,orleans,orleans
2213,Chateauroux,chateauroux,chateauroux
2218,Tours,tours,tours
2220,Clermont,clermont,clermont
2513,Bourg Peronnas,bourg_peronnas,bourg_peronnas
2518,Red Star,red_star,red_star
2580,Paris FC,paris_fc,paris_fc
3289,Quevilly Rouen,quevilly_rouen,quevilly_rouen
3668,Beziers,beziers,beziers
3674,Grenoble,grenoble,grenoble
4032,Chambly,chambly,chambly
4037,Rodez,rodez,rodez
4039,Le Mans,le_mans,le_mans
4308,Freiburg,freiburg,fribourg
4314,Hamburg,hamburg,hamburg
4315,Hertha,hertha,hertha_berlin
4316,Bayern Munich,bayern_munich,bayern_munich
4317,Dortmund,dortmund,borussia_dortmund
4318,Ein Frankfurt,ein_frankfurt,eintracht_francfort
4319,Hoffenheim,hoffenheim,hoffenheim
4321,Werder Bremen,werder_bremen,werder_breme
4322,M'gladbach,m'gladbach,borussia_m'gladbach
4323,Wolfsburg,wolfsburg,wolfsbourg
4325,FC Koln,fc_koln,cologne
4327,Hannover,hannover,hannover
4328,Mainz,mainz,mayence
4329,Schalke 04,schalke_04,schalke_04
4330,Stuttgart,stuttgart,stuttgart
4332,Paderborn,paderborn,sc_paderborn_07
4334,Augsburg,augsburg,augsbourg
4339,Leverkusen,leverkusen,bayer_leverkusen
